id,name,lat,lon,coord_source,wikidata_id,score,decision,confidence,notes,wikidata_description,wiki_snippet,episodes,accept,reviewer_notes
list-of-locations,List of Locations,,,,,10,reject,low,no-coords,,"This is a <span class=""searchmatch"">list</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">locations</span> from which ESPN&#039;s College GameDay has been broadcast since it first ","[1, 2000]",false,
judo-island,Judo Island,1.0,1.1,,,60,accept,medium,,,"<span class=""searchmatch"">Judo</span>, for the 2019 <span class=""searchmatch"">Island</span> Games, held at the Devils Tower Camp - Gym, Gibraltar in July 2019.   *   Host nation (Gibraltar) &quot;2019","[1, 2000]",true,
2000-year-island,2000 Year Island,,,,,10,reject,low,no-coords,,"the International <span class=""searchmatch"">Year</span> for the Culture of Peace and the World Mathematical <span class=""searchmatch"">Year</span>. Popular culture holds the <span class=""searchmatch"">y","[1, 2000]",false,
trans-town,Trans Town,,,,,10,reject,low,no-coords,,"the <span class=""searchmatch"">Trans</span>-Mongolian Railway, which coincides with the <span class=""searchmatch"">Trans</span>-Siberian as far as Ulan-Ude on Lake Baikal&#039;s eastern shore. From Ulan","[1, 2000]",false,
carbador-island,Carbador Island,1.0,1.1,,,50,review,low,,,,"[1, 2000]",false,
s-mart,S.Mart,,,,,10,reject,low,no-coords,,"with Soriana and Wal-<span class=""searchmatch"">Mart</span>. <span class=""searchmatch"">S</span>-<span class=""searchmatch"">Mart</span> opened its first store in Ciudad Juárez, then later expanded to 33 ","[1, 2000]",false,
marron,Marron,1.0,1.1,,,60,accept,medium,,,"<span class=""searchmatch"">Marron</span> is a name given to two closely related species of crayfish in Western Australia. Formerly considered a single species, it is since recognised as","[1, 1993]",true,
tomac,Tomac,1.0,1.1,,,60,accept,medium,,,"Eli <span class=""searchmatch"">Tomac</span> (born November 14, 1992) is an American professional Motocross and Supercross racer who competes in the AMA Supercross and Motocross championships;","[1, 1989]",true,
riba-riba-no-mi,Riba Riba no Mi,1.0,1.1,,,60,accept,medium,,,"Toni <span class=""searchmatch"">Ribas</span> (born Antoni García Cabra on 13 June 1975) is a Spanish pornographic actor and director. In 2010, he was inducted into the AVN Hall of Fame","[1, 1982]",true,
rurubu-one-piece,Rurubu One Piece,1.0,1.1,,,60,accept,medium,,,"release is the original <span class=""searchmatch"">one</span>. The game was later published by Kemco for the Japanese release. The Nintendo release is the original <span class=""searchmatch"">one</span>.","[1, 1977]",true,
royal-sun-island,Royal Sun Island,45.50638889,-73.58888889,wikipedia,,60,accept,medium,,,"Mount <span class=""searchmatch"">Royal</span>.&quot; One theory is that the name of the <span class=""searchmatch"">Island</span> of Montréal derives from Mont Réal, as the hill&#039;s name was spelled i","[1, 1955]",true,
jail-island,Jail Island,35.315277777778,-85.999166666667,wikidata,Q49644251,90,accept,high,,"island in Coffee County, Tennessee, United States",,"[1, 1911]",true,
sargus,Sargus,1.0,1.1,,,60,accept,medium,,,"species and are part of the D. <span class=""searchmatch"">sargus</span> species complex. Diplodus <span class=""searchmatch"">sargus</span> was first formally described as Sparus <span class=""searchmatch","[1, 1909]",true,
arsel,Arsel,1.0,1.1,,,60,accept,medium,,,"Semahat Sevim <span class=""searchmatch"">Arsel</span> (born 1928) is a Turkish billionaire businesswoman. She is a director of Koç Holding, the largest industrial conglomerate in Turkey","[1, 1908]",true,
gage,Gage,1.0,1.1,,,60,accept,medium,,,"player <span class=""searchmatch"">Gage</span> Street, Hong Kong <span class=""searchmatch"">Gage</span>, Kentucky <span class=""searchmatch"">Gage</span>, New Mexico <span class=""searchmatch"">Gage</span>, ","[1, 1900]",true,
barricade,Barricade,1.0,1.1,,,60,accept,medium,,,"<span class=""searchmatch"">Barricade</span> (from French barrique &#039;barrel&#039;) is any object or structure that creates a barrier or obstacle to control, block passage or force the flow of","[1, 1898]",true,
promise-land,Promise Land,1.0,1.1,,,60,accept,medium,,,"In the Abrahamic religions, the &quot;<span class=""searchmatch"">Promised</span> <span class=""searchmatch"">Land</span>&quot; (Hebrew: הָאָרֶץ הַמֻּבְטַחַת, romanized: Ha&#039;aretz ha-Muvtaḥat) refers ","[1, 1855]",true,
homey-premier-show,Homey (Premier Show),1.0,1.1,,,60,accept,medium,,,"2024-12-18. Retrieved 2025-12-04. &quot;Super Chon <span class=""searchmatch"">Homeys</span>: Talking music and videogames with CHON before their <span class=""searchmatch"">show</span> - Berkeley B-Side&","[1, 1841]",true,
teru,Teru,-2.23345876648299,106.04790133318802,wikidata,Q12521047,90,accept,high,,"village in Central Bangka Regency, Bangka Belitung Islands, Indonesia",,"[1, 1840]",true,
glass,Glass,1.0,1.1,,,60,accept,medium,,,"<span class=""searchmatch"">Glass</span> is an amorphous (non-crystalline) solid. Because it is often transparent and chemically inert, <span class=""searchmatch"">glass</span> has found widespread practi","[1, 1783]",true,
comb,Comb,1.0,1.1,,,60,accept,medium,,,"Shang dynasty <span class=""searchmatch"">comb</span> Qin dynasty <span class=""searchmatch"">comb</span> Western Han jade <span class=""searchmatch"">comb</span> Tang dynasty <span class=""searchmatch"">comb","[1, 1782]",true,
trap-tower,Trap Tower,51.514,-0.2158,wikipedia,,60,accept,medium,,,"Hunt, Elle (13 June 2017). &quot;London fire: fears of people <span class=""searchmatch"">trapped</span> as major blaze engulfs <span class=""searchmatch"">tower</span> block – latest&quot;. The Guardian.","[1, 1735]",true,
week,Week,1.0,1.1,,,60,accept,medium,,,"A <span class=""searchmatch"">week</span> is a unit of time equal to seven days. It is the standard time period used for short cycles of days in most parts of the world. The days are often","[1, 1682]",true,
horo,Horo,1.0,1.1,,,60,accept,medium,,,"<span class=""searchmatch"">Horo</span> may refer to: <span class=""searchmatch"">Horo</span> (woreda), a woreda in Ethiopia <span class=""searchmatch"">Horo</span> (Eswatini), a village in Eswatini Justin ","[1, 1680]",true,
wombat,Wombat,1.0,1.1,,,60,accept,medium,,,"<span class=""searchmatch"">Wombats</span> are short-legged, muscular quadrupedal marsupials of the family Vombatidae that are native to Australia. Living species are about 1 m (40 in)","[1, 1637]",true,
nanatsu-islands,Nanatsu Islands,1.0,1.1,,,90,accept,high,,,"original on February 10, 2003. Retrieved September 29, 2008. &quot;One Piece: <span class=""searchmatch"">Nanatsu</span> Shima no Daihihou for Game Boy Advance&quot;. GameSpot. Archived from the origina","[1, 1608]",true,
nyornyo-nyarmani,Nyornyo Nyarmani,1.0,1.1,,,50,review,low,,,,"[1, 1606]",false,
mooji,Mooji,1.0,1.1,,,60,accept,medium,,,"<span class=""searchmatch"">Mooji</span> (born Anthony Paul Moo-Young, January 29, 1954) is a Jamaican spiritual teacher of Advaita based in the UK and Portugal. He gives talks (satsang)","[1, 1599]",true,
one-piece-unlimited-world-red,One Piece: Unlimited World Red,,,,,10,reject,low,no-coords,,"<span class=""searchmatch"">One</span> <span class=""searchmatch"">Piece</span>: <span class=""searchmatch"">Unlimited</span> <span class=""searchmatch"">World</span> <span class=""searchmatch"">Red</span> is a","[1, 1582]",false,
nebulandia,Nebulandia,,,,,40,review,low,no-coords,," &quot;One Piece Adventure of <span class=""searchmatch"">Nebulandia</span> TV Special Blu-ray/DVD&quot;. Right Stuf. 16 March 2019. &quot;One Piece Adventure of <span class=""searchmatch"">Nebulandia</sp","[1, 1513]",false,
one-piece-romance-dawn-the-dawn-of-the-adventure,One Piece Romance Dawn: The Dawn of the Adventure,,,,,10,reject,low,no-coords,,"<span class=""searchmatch"">One</span> <span class=""searchmatch"">Piece</span>: <span class=""searchmatch"">Romance</span> <span class=""searchmatch"">Dawn</span> (<span class=""searchmatch"">ONE</span> <span ","[1, 1499]",false,
eliza-odyssey,Eliza (Odyssey),1.0,1.1,,,60,accept,medium,,,"Primetime Emmy Award. Soo gained prominence for originating the role of <span class=""searchmatch"">Eliza</span> Hamilton in the musical Hamilton on Broadway. She earned a nomination for","[1, 1457]",true,
sada,Sada,-12.848888888889,45.099722222222,wikidata,Q1920630,70,accept,medium,,"commune in Mayotte, France",,"[1, 1383]",true,
bounty-maru,Bounty Maru,1.0,1.1,,,60,accept,medium,,,"colonization. The <span class=""searchmatch"">Bounty</span> Hunters are a distinct group from the Colonist aliens. Although all Colonist aliens are shape-shifters, the Alien <span class=""searchmatch"">Bo","[1, 1371]",true,
one-piece-grand-adventure,One Piece: Grand Adventure,,,,,10,reject,low,no-coords,,"<span class=""searchmatch"">One</span> <span class=""searchmatch"">Piece</span>: <span class=""searchmatch"">Grand</span> <span class=""searchmatch"">Adventure</span> is a video game for the PlayStation 2 and","[1, 1174]",false,
chapter-1157,Chapter 1157,,,,,10,reject,low,no-coords,,"Year <span class=""searchmatch"">1157</span> (MCLVII) was a common year starting on Tuesday of the Julian calendar. January 12–March 16 – Caliph Al-Muqtafi successfully defends Baghdad against","[1, 1170]",false,
one-piece-burning-blood,One Piece: Burning Blood,,,,,10,reject,low,no-coords,,"<span class=""searchmatch"">One</span> <span class=""searchmatch"">Piece</span>: <span class=""searchmatch"">Burning</span> <span class=""searchmatch"">Blood</span> is a fighting video game developed by Spike","[1, 1170]",false,
episode-guide-final-saga,Episode Guide/Final Saga,,,,,10,reject,low,no-coords,,"cut of the Buu <span class=""searchmatch"">Saga</span> (The <span class=""searchmatch"">Final</span> Chapters) features 8 <span class=""searchmatch"">episodes</span> worth of extra footage that was removed ","[1, 1155]",false,
sabo,Sabo,-1.123593909755042,121.80821895600444,wikidata,Q12511404,90,accept,high,,"village in Tojo Una Una Regency, Central Sulawesi, Indonesia",,"[2, 1155]",true,
koby,Koby,1.0,1.1,,,60,accept,medium,,,"or <span class=""searchmatch"">Koby</span> is a male and female name, a surname, or a nickname originating from the name &quot;Jacob&quot; or &quot;Jakob&quot;. Top A B C D F H I J K L M O R S V W <span","[1, 1153]",true,
pirate,Pirate,1.0,1.1,,,60,accept,medium,,,"of <span class=""searchmatch"">pirates</span> Piracy in the Atlantic World Piracy kidnappings <span class=""searchmatch"">Pirate</span> code <span class=""searchmatch"">Pirate</span> game <span class=""searc","[1, 1153]",true,
will-of-d,Will of D.,2.0,2.1,,,60,accept,medium,,,"denarius) <span class=""searchmatch"">Ɖ</span> <span class=""searchmatch"">ɖ</span> : African <span class=""searchmatch"">D</span> <span class=""searchmatch"">Ð</span> <span class=""searchmatch"">ð</span> : Lat","[1, 1152]",true,
shanks-history,Shanks/History,2.0,2.1,,,60,accept,medium,,,"2007, <span class=""searchmatch"">Shanks</span> joined the Fox Network series 24, guest-starring as lobbyist Mark Bishop in a three-episode arc for season 6. In 2008–2009, <span class=""searchmatch"">Shan","[4, 1153]",true,
helmeppo,Helmeppo,1.0,1.1,,,60,accept,medium,,,"(海賊狩りのゾロ, Kaizoku-Gari no Zoro). Eventually, he comes into conflict with <span class=""searchmatch"">Helmeppo</span>, the spoiled son of a navy officer. To prevent the harm of innocent civilians","[2, 1150]",true,
gomu-gomu-no-mi,Gomu Gomu no Mi,1.0,1.1,,,60,accept,medium,,,"km and 24 hours. The Global Organization of Multi-Day Ultramarathoners (<span class=""searchmatch"">GOMU</span>) holds World Championships for 48 hours and six days. World records are ratified","[1, 1148]",true,
usopp-history-during-and-after-the-timeskip,Usopp/History/During and After the Timeskip,2.0,2.1,,,60,accept,medium,,,"famous nose of his mother, while <span class=""searchmatch"">the</span> rest of his face resembles that of his father. <span class=""searchmatch"">After</span> <span class=""searchmatch"">the</span> two-yea","[8, 1155]",true,
boodle,Boodle,51.50694444,-0.13944444,wikipedia,,60,accept,medium,,,"<span class=""searchmatch"">Boodle&#039;s</span> is a gentlemen&#039;s club in London, England, with its clubhouse located at 28 St James&#039;s Street. Founded in January 1762 by Lord Shelburne, who la","[6, 1148]",true,
bufflo,Bufflo,1.0,1.1,,,50,review,low,,,"BAA Buffalo was a planned basketball franchise in the Basketball Association of America (BAA), one of the forerunners of the modern National Basketball","[1, 1142]",false,
kaya,Kaya,1.0,1.1,,,60,accept,medium,,,"Look up <span class=""searchmatch"">Kaya</span> or <span class=""searchmatch"">kaya</span> in Wiktionary, the free dictionary. <span class=""searchmatch"">Kaya</span> may refer to: <span class=""searchmatch""","[9, 1147]",true,
ninjin,Ninjin,1.0,1.1,,,60,accept,medium,,,"<span class=""searchmatch"">Ninjin</span> is the second original animated series from Cartoon Network Brazil (after Jorel&#039;s Brother), co-produced by Pocket Trap and Birdo Studio, based on","[9, 1147]",true,
